"molecule_name","molecule_component","atom_number","element_or_group","x","y","bond_start_atom","bond_end_atom","bond_type","bond_direction","abbv"
"template","atom",4,"CH3",3.5,2,NA,NA,NA,NA,NA
"template","atom",7,"H",4,6,NA,NA,NA,NA,NA
"template","atom",8,"CH3",4.5,2,NA,NA,NA,NA,NA
"template","atom",9,"C",4,4,NA,NA,NA,NA,NA
"template","atom",10,"O",1,3,NA,NA,NA,NA,NA
"template","atom",11,"C",2,5,NA,NA,NA,NA,NA
"template","atom",12,"H",0,4,NA,NA,NA,NA,NA
"template","atom",13,"C",2,7,NA,NA,NA,NA,NA
"template","atom",14,"H",0,8,NA,NA,NA,NA,NA
"template","atom",15,"H",1,9,NA,NA,NA,NA,NA
"template","atom",16,"C",4,8,NA,NA,NA,NA,NA
"template","atom",17,"H",3.5,10,NA,NA,NA,NA,NA
"template","atom",18,"H",4.5,10,NA,NA,NA,NA,NA
"template","atom",19,"C",6,7,NA,NA,NA,NA,NA
"template","atom",20,"CH3",5.5,9,NA,NA,NA,NA,NA
"template","atom",24,"H",6.5,9,NA,NA,NA,NA,NA
"template","atom",25,"C",6,5,NA,NA,NA,NA,NA
"template","atom",26,"H",5.5,3,NA,NA,NA,NA,NA
"template","atom",27,"H",6.5,3,NA,NA,NA,NA,NA
"template","atom",28,"C",8,4,NA,NA,NA,NA,NA
"template","atom",29,"H",7.5,2,NA,NA,NA,NA,NA
"template","atom",30,"H",8.5,2,NA,NA,NA,NA,NA
"template","atom",31,"C",10,5,NA,NA,NA,NA,NA
"template","atom",32,"H",11,3,NA,NA,NA,NA,NA
"template","atom",33,"H",12,4,NA,NA,NA,NA,NA
"template","atom",34,"C",10,7,NA,NA,NA,NA,NA
"template","atom",35,"H",9.5,9,NA,NA,NA,NA,NA
"template","atom",36,"CH3",10.5,9,NA,NA,NA,NA,NA
"template","atom",40,"C",8,8,NA,NA,NA,NA,NA
"template","atom",41,"H",7.5,6,NA,NA,NA,NA,NA
"template","atom",42,"H",8.5,6,NA,NA,NA,NA,NA
"template","atom",43,"C",8,10,NA,NA,NA,NA,NA
"template","atom",44,"H",6,11,NA,NA,NA,NA,NA
"template","atom",45,"H",7,12,NA,NA,NA,NA,NA
"template","atom",46,"C",10,11,NA,NA,NA,NA,NA
"template","atom",47,"H",9.5,13,NA,NA,NA,NA,NA
"template","atom",48,"H",10.5,13,NA,NA,NA,NA,NA
"template","atom",49,"C",12,10,NA,NA,NA,NA,NA
"template","atom",50,"H",11.5,12,NA,NA,NA,NA,NA
"template","atom",51,"H",12.5,12,NA,NA,NA,NA,NA
"template","atom",52,"C",12,8,NA,NA,NA,NA,NA
"template","atom",53,"CH3",11.5,6,NA,NA,NA,NA,NA
"template","atom",54,"H",12.5,6,NA,NA,NA,NA,NA
"template","atom",57,"C",14,7,NA,NA,NA,NA,NA
"template","atom",58,"H",13.5,5,NA,NA,NA,NA,NA
"template","atom",59,"H",14.5,5,NA,NA,NA,NA,NA
"template","atom",60,"C",16,8,NA,NA,NA,NA,NA
"template","atom",61,"H",17,6,NA,NA,NA,NA,NA
"template","atom",62,"H",18,7,NA,NA,NA,NA,NA
"template","atom",63,"C",14,11,NA,NA,NA,NA,NA
"template","atom",64,"H",13.5,9,NA,NA,NA,NA,NA
"template","atom",65,"H",14.5,9,NA,NA,NA,NA,NA
"template","atom",66,"C",16,10,NA,NA,NA,NA,NA
"template","atom",67,"CH3",16.5,12,NA,NA,NA,NA,NA
"template","atom",71,"H",15.5,12,NA,NA,NA,NA,NA
"template","atom",72,"C",18,11,NA,NA,NA,NA,NA
"template","atom",73,"H",19,9,NA,NA,NA,NA,NA
"template","atom",74,"H",20,10,NA,NA,NA,NA,NA
"template","atom",75,"C",18,13,NA,NA,NA,NA,NA
"template","atom",76,"H",20,14,NA,NA,NA,NA,NA
"template","atom",77,"H",19,15,NA,NA,NA,NA,NA
"template","atom",78,"C",14,13,NA,NA,NA,NA,NA
"template","atom",79,"H",12,14,NA,NA,NA,NA,NA
"template","atom",80,"H",13,15,NA,NA,NA,NA,NA
"template","atom",81,"C",16,14,NA,NA,NA,NA,NA
"template","atom",82,"CH3",17,16,NA,NA,NA,NA,NA
"template","atom",86,"CH3",15,16,NA,NA,NA,NA,NA
"template","atom",87,"H",16,16.5,NA,NA,NA,NA,NA
"template","bond",NA,NA,NA,NA,9,4,"single","down",NA
"template","bond",NA,NA,NA,NA,9,7,"single","up",NA
"template","bond",NA,NA,NA,NA,9,8,"single","up",NA
"template","bond",NA,NA,NA,NA,11,9,"single","up",NA
"template","bond",NA,NA,NA,NA,25,9,"single","up",NA
"template","bond",NA,NA,NA,NA,11,10,"single","up",NA
"template","bond",NA,NA,NA,NA,11,12,"single","down",NA
"template","bond",NA,NA,NA,NA,11,13,"single","up",NA
"template","bond",NA,NA,NA,NA,13,14,"single","up",NA
"template","bond",NA,NA,NA,NA,13,15,"single","down",NA
"template","bond",NA,NA,NA,NA,16,13,"single","up",NA
"template","bond",NA,NA,NA,NA,16,17,"single","up",NA
"template","bond",NA,NA,NA,NA,16,18,"single","down",NA
"template","bond",NA,NA,NA,NA,16,19,"single","up",NA
"template","bond",NA,NA,NA,NA,19,20,"single","up",NA
"template","bond",NA,NA,NA,NA,19,24,"single","down",NA
"template","bond",NA,NA,NA,NA,20,40,"single","down",NA
"template","bond",NA,NA,NA,NA,25,19,"single","up",NA
"template","bond",NA,NA,NA,NA,40,19,"single","up",NA
"template","bond",NA,NA,NA,NA,25,26,"single","down",NA
"template","bond",NA,NA,NA,NA,25,27,"single","up",NA
"template","bond",NA,NA,NA,NA,25,28,"single","up",NA
"template","bond",NA,NA,NA,NA,28,29,"single","down",NA
"template","bond",NA,NA,NA,NA,28,30,"single","up",NA
"template","bond",NA,NA,NA,NA,31,28,"single","up",NA
"template","bond",NA,NA,NA,NA,31,32,"single","down",NA
"template","bond",NA,NA,NA,NA,31,33,"single","up",NA
